Rok;Brzan;23/11/2003;1;Portiere
Marco;Bellich;05/05/1999;5;Difensore
Ronaldo;Pompeu Da Silva;08/04/1990;8;Centrocampista
Loris;Zonta;22/05/1997;6;Centrocampista
Matteo;Stoppa;27/09/2000;27;Attaccante
